23,60,67,41,84
23,59,68,40,85
23,59,67,40,83
23,60,68,40,87
23,61,68,40,82
23,58,71,41,81
24,75,79,47,87
24,73,81,43,85
24,71,81,48,82
24,70,76,43,80
24,74,76,47,80
24,74,76,42,78
25,59,70,55,76
25,59,69,55,76
25,59,72,56,76
25,59,82,56,78
25,60,79,56,78
25,59,75,57,76
26,71,60,74,70
26,90,64,70,67
26,82,62,71,70
26,87,63,69,70
26,78,60,68,70
26,84,63,69,68
27,71,61,61,69
27,69,59,63,75
27,68,57,63,74
27,70,59,63,67
27,72,57,62,74
27,70,54,66,71
28,79,48,71,72
28,81,41,67,68
28,87,47,69,66
28,79,47,70,66
28,76,48,70,64
28,75,49,69,67
29,79,52,75,59
29,76,54,71,61
29,80,55,73,61
29,81,54,71,61
29,77,54,71,60
29,79,53,74,60
30,83,58,80,66
30,81,59,85,66
30,82,57,76,66
30,80,56,90,65
30,81,64,74,65
30,81,64,74,63
22,75,66,73,62
22,79,66,77,56
22,76,65,72,57
22,76,66,71,58
22,75,68,74,58
22,81,68,71,61
21,74,49,65,58
21,75,50,67,60
21,75,51,66,59
21,75,52,67,58
21,73,52,69,60
21,82,52,66,58
20,66,69,76,63
20,68,70,76,62
20,66,72,74,63
20,66,73,68,62
20,65,65,71,63
20,66,62,74,62
19,64,62,70,57
19,65,63,67,56
19,68,63,77,56
19,65,59,72,56
19,65,57,80,57
19,65,58,73,56
18,72,49,60,64
18,64,51,60,63
18,64,50,61,65
18,64,51,59,66
18,65,51,60,64
18,63,51,60,66
17,59,56,56,71
17,57,56,56,68
17,57,53,56,68
17,57,54,58,66
17,59,54,59,66
17,59,56,59,67
16,70,55,55,76
16,64,65,52,80
16,66,65,58,81
16,65,65,55,76
16,74,64,53,86
16,73,65,55,88
15,59,64,51,86
15,59,66,51,78
15,59,67,53,81
15,59,65,51,81
15,57,65,50,81
15,57,65,49,92
8,39,72,64,59
8,40,76,66,60
8,40,71,65,65
8,40,76,63,67
8,40,75,61,67
8,40,76,61,67
9,51,74,60,82
9,51,73,62,80
9,49,74,59,78
9,49,76,59,81
9,49,70,60,89
9,55,68,59,63
10,51,75,60,56
10,51,72,59,57
10,48,94,58,57
10,41,63,61,64
10,42,64,59,56
10,43,74,58,57
11,51,60,67,54
11,51,67,75,52
11,51,82,71,52
11,51,67,81,57
11,50,79,76,59
11,49,64,68,58
12,70,62,67,58
12,64,67,66,55
12,68,65,66,53
12,76,66,67,61
12,75,58,65,53
12,76,59,66,57
13,60,71,73,52
13,66,72,73,47
13,63,74,73,48
13,61,75,71,50
13,59,63,73,47
13,58,66,73,48
14,74,60,71,47
14,76,58,73,38
14,71,60,74,38
14,84,59,76,38
14,70,60,76,39
14,78,62,81,38
7,63,60,71,46
7,64,62,69,43
7,66,61,70,42
7,67,60,71,40
7,65,61,69,41
7,66,60,70,41
6,59,65,77,55
6,59,65,78,50
6,63,65,79,56
6,61,70,78,55
6,64,70,87,55
6,63,65,80,48
5,60,64,71,39
5,59,64,70,40
5,68,63,71,40
5,75,68,71,41
5,63,61,71,41
5,60,61,68,40
4,63,76,67,64
4,63,62,65,61
4,59,61,65,65
4,64,59,68,65
4,60,62,68,66
4,59,60,73,70
3,50,66,59,64
3,54,66,58,73
3,66,64,58,75
3,50,70,58,73
3,50,63,58,63
3,52,63,59,64
2,40,75,63,66
2,40,72,62,67
2,39,72,62,65
2,41,68,63,65
2,42,71,63,64
2,42,75,62,64
1,47,70,60,70
1,47,70,64,68
1,43,72,62,66
1,47,68,62,67
1,47,68,61,67
1,43,67,59,67
