(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 47, u'2017-10-25 17:16:53.087344')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:16:53.153979')
(1, u'c2c4ebd0-b95a-11e7-bebc-85e6dd10a2e8', 77, u'2017-10-25 17:16:55.167695')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 59, u'2017-10-25 17:16:57.166068')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:16:57.182471')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 47, u'2017-10-25 17:16:57.192740')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:16:59.143117')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:16:59.170275')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 49, u'2017-10-25 17:16:59.226137')
(1, u'c2c4ebd0-b95a-11e7-bebc-85e6dd10a2e8', 79, u'2017-10-25 17:16:59.304714')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 48, u'2017-10-25 17:17:01.161097')
(1, u'c2c4ebd0-b95a-11e7-bebc-85e6dd10a2e8', 79, u'2017-10-25 17:17:01.162331')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:17:01.163644')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 59, u'2017-10-25 17:17:01.168160')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:17:03.183636')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 59, u'2017-10-25 17:17:03.258078')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 48, u'2017-10-25 17:17:05.229990')
(1, u'c2c4ebd0-b95a-11e7-bebc-85e6dd10a2e8', 79, u'2017-10-25 17:17:05.240556')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 49, u'2017-10-25 17:17:07.211310')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 59, u'2017-10-25 17:17:07.285879')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 62, u'2017-10-25 17:17:09.257379')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 59, u'2017-10-25 17:17:09.267407')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 50, u'2017-10-25 17:17:09.288384')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 47, u'2017-10-25 17:17:11.240654')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:17:11.248807')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 62, u'2017-10-25 17:17:11.306492')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 48, u'2017-10-25 17:17:13.258957')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 62, u'2017-10-25 17:17:13.263023')
(1, u'c2c4ebd0-b95a-11e7-bebc-85e6dd10a2e8', 79, u'2017-10-25 17:17:13.325098')
(1, u'b6b48ad0-b95a-11e7-bebc-85e6dd10a2e8', 61, u'2017-10-25 17:17:15.282703')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 49, u'2017-10-25 17:17:15.312173')
(1, u'f1f7e740-b8b0-11e7-bebc-85e6dd10a2e8', 60, u'2017-10-25 17:17:15.597328')
(1, u'43e01b20-b967-11e7-bebc-85e6dd10a2e8', 49, u'2017-10-25 17:17:17.293919')
